filename,Opt-D&S(1st),Opt-D&S(10st),MV-D&S(1st),MV-D&S(10st),Majority Vote,KOS,Ghosh-SVD,EigenRatio
low=0.3_high=0.3_crowd.txt,0,0,0,0,0,0,0,0
low=0.3_high=0.5_crowd.txt,0,0,0,0,0.00149999999999995,0.001,0.001,0.001
low=0.3_high=0.7_crowd.txt,0.001,0,0,0,0.0145,0,0.001,0
low=0.5_high=0.3_crowd.txt,0,0,0,0,0,0,0,0
low=0.5_high=0.5_crowd.txt,0,0,0,0,0,0,0,0
low=0.5_high=0.7_crowd.txt,0,0.001,0,0.001,0.00600000000000001,0.001,0.001,0.002
low=0.7_high=0.3_crowd.txt,0,0,0,0,0,0,0,0
low=0.7_high=0.5_crowd.txt,0,0,0,0,0,0,0,0
low=0.7_high=0.7_crowd.txt,0,0,0,0,0.002,0,0,0
same=0.02_false=0.02_crowd.txt,0,0,0,0,0.002,0,0,0
same=0.02_false=0.1_crowd.txt,0,0,0,0,0.00149999999999995,0,0,0
same=0.02_false=0.25_crowd.txt,0.479,0,0,0,0.408,1,0,0
same=0.02_false=0.4_crowd.txt,1,0.999,1,0.999,0.8315,1,1,1
same=0.1_false=0.02_crowd.txt,0,0,0,0,0.00700000000000001,0,0.001,0.001
same=0.1_false=0.1_crowd.txt,0,0,0,0,0.0375,0,0,0
same=0.1_false=0.25_crowd.txt,0.494,0,0,0,0.292,1,0,0
same=0.1_false=0.4_crowd.txt,1,1,1,0.997,0.9395,1,1,1
same=0.25_false=0.02_crowd.txt,0.001,0.001,0.001,0.001,0.015,0.002,0.484,0.484
same=0.25_false=0.1_crowd.txt,0,0,0.001,0,0.0580000000000001,0,0.481,0.481
same=0.25_false=0.25_crowd.txt,0.981,1,0.008,0.002,0.4825,1,0,0
same=0.25_false=0.4_crowd.txt,1,1,1,0.989,0.984,1,1,1
same=0.4_false=0.02_crowd.txt,0,0,0.001,0,0.0679999999999999,0.001,0.499,0.499
same=0.4_false=0.1_crowd.txt,0,0,0,0,0.1265,0,0.499,0.499
same=0.4_false=0.25_crowd.txt,1,1,1,1,0.7755,1,0.512,0.512
same=0.4_false=0.4_crowd.txt,1,1,1,1,0.9995,1,0.699,1
